Performance Statistics   2020-02-28 07:46:00 - 2020-02-28 07:46:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
api.non-authenticated.licenses.andguard.andguardredirect.sync.ok        44.0          44          44         0.0           1
api.non-authenticated.licenses.andguard.andguardwhitelist.sync.ok        12.0          12          12         0.0           1
api.non-authenticated.licenses.ok                      323.0         323         323         0.0           1
axl.SOAPRequest.read.ok                                138.3          18         282       120.9           4
axl.initialization.ok                                  289.0         289         289         0.0           1
global.bg.ok                                            39.5           2         397       108.2          12
global.event_dispatch.ok                                 0.4           0           2         0.8           5
global.prov_ev.andmobile.ok                              0.0           0           0         0.0           1
global.prov_ev.android.ok                                0.0           0           0         0.0           1
global.prov_ev.apps.ok                                   0.0           0           0         0.0           1
global.prov_ev.blacklist.ok                              0.0           0           0         0.0           1
global.prov_ev.calllist.ok                               0.0           0           0         0.0           1
global.prov_ev.callrouting.ok                            0.0           0           0         0.0           1
global.prov_ev.communicator.ok                           0.0           0           0         0.0           1
global.prov_ev.dect.ok                                   0.0           0           0         0.0           1
global.prov_ev.desktop.ok                                0.0           0           0         0.0           1
global.prov_ev.groupacd.ok                               0.0           0           0         0.0           1
global.prov_ev.inout.ok                                  0.0           0           0         0.0           1
global.prov_ev.ldap.ok                                   0.0           0           0         0.0           1
global.prov_ev.lockout.ok                                0.0           0           0         0.0           1
global.prov_ev.mcast.ok                                  0.0           0           0         0.0           1
global.prov_ev.monitoring.ok                             0.0           0           0         0.0           1
global.prov_ev.partner.ok                                0.0           0           0         0.0           1
global.prov_ev.phonemenu.ok                              0.0           0           0         0.0           1
global.prov_ev.provisioning.ok                           0.0           0           0         0.0           1
global.prov_ev.recorder.ok                               0.0           0           0         0.0           1
global.prov_ev.recordermgmt.ok                           0.0           0           0         0.0           1
global.prov_ev.webattendant.ok                           0.0           0           0         0.0           1
global.prov_ev.webclient.ok                              0.0           0           0         0.0           1
partner.initialization.ok                               47.0          47          47         0.0           1
webuser.providerEvent.OK                                 0.0           0           0         0.0           1

Performance Statistics   2020-02-28 07:46:00 - 2020-02-28 07:46:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           1
global.disk_util#                                        0.0           0           0         0.0           1
global.events.add#                                       0.0           0           0         0.0          12
global.events.dropped#                                   0.0           0           0         0.0           7
global.events.enqueue#                                   0.0           0           0         0.0           5
global.events.queues.APAS-defaultWorker-1~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-2~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-3~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-4~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-5~               1.0           1           1         0.0           1
global.jtapi.provInServiceEvt#                           0.0           0           0         0.0           1

Performance Statistics   2020-02-28 07:46:30 - 2020-02-28 07:47:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                203.8          14         764       225.8          11
communicator.obs.TermInService.ok                        0.0           0           0         0.0           2
global.bg.ok                                             2.0           1           7         1.8          30
global.event_dispatch.ok                               534.3           0        1592       732.9          15
global.jtapi.init.andmobile.error                        0.0           0           0         0.0           1
global.jtapi.init.andmobile.ok                           0.0           0           0         0.0           1
global.jtapi.init.android.ok                             0.0           0           0         0.0           1
global.jtapi.init.apps.ok                                0.0           0           0         0.0           1
global.jtapi.init.blacklist.ok                          14.0          14          14         0.0           1
global.jtapi.init.calllist.ok                            0.0           0           0         0.0           1
global.jtapi.init.callrouting.error                      7.0           7           7         0.0           1
global.jtapi.init.callrouting.ok                         7.0           7           7         0.0           1
global.jtapi.init.communicator.error                     4.0           4           4         0.0           1
global.jtapi.init.communicator.ok                        4.0           4           4         0.0           1
global.jtapi.init.dect.ok                                0.0           0           0         0.0           1
global.jtapi.init.desktop.ok                             0.0           0           0         0.0           1
global.jtapi.init.groupacd.ok                            0.0           0           0         0.0           1
global.jtapi.init.inout.ok                               0.0           0           0         0.0           1
global.jtapi.init.ldap.ok                                6.0           6           6         0.0           1
global.jtapi.init.lockout.ok                             0.0           0           0         0.0           1
global.jtapi.init.mcast.ok                               2.0           2           2         0.0           1
global.jtapi.init.monitoring.ok                          0.0           0           0         0.0           1
global.jtapi.init.partner.ok                           160.0         160         160         0.0           1
global.jtapi.init.phonemenu.error                        0.0           0           0         0.0           1
global.jtapi.init.phonemenu.ok                           0.0           0           0         0.0           1
global.jtapi.init.provisioning.ok                        0.0           0           0         0.0           1
global.jtapi.init.recorder.ok                           12.0          12          12         0.0           1
global.jtapi.init.recordermgmt.ok                        0.0           0           0         0.0           1
global.jtapi.init.webattendant.ok                        0.0           0           0         0.0           1
global.jtapi.init.webclient.ok                           0.0           0           0         0.0           1
global.jtapi.initialization.ok                       11161.0       11161       11161         0.0           1
global.jtapi.push.ok                                   123.5         113         134        10.5           2
global.prov_ev.andmobile.ok                              0.0           0           0         0.0           1
global.prov_ev.android.ok                                0.0           0           0         0.0           1
global.prov_ev.apps.ok                                   1.0           1           1         0.0           1
global.prov_ev.blacklist.ok                              0.0           0           0         0.0           1
global.prov_ev.calllist.ok                               0.0           0           0         0.0           1
global.prov_ev.callrouting.ok                            0.0           0           0         0.0           1
