date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:30	501/501	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Jan%202015%2009:56:31%20GMT	http://java.boot.by/robots.txt		(from )
10:56:38	21940/21940	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:56:30%20GMT	http://java.boot.by/wcd-guide/index.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/index.html	(from )
10:56:38	1384/1384	---M--	200	added ('OK')	text/css	etag:%2218397e-568-4c5227ed08dfb%22	http://java.boot.by/wcd-guide/wcd-guide.css	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/wcd-guide.css	(from )
10:56:41	5011/5011	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:56:40%20GMT	http://java.boot.by/wcd-guide/pr01.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/pr01.html	(from )
10:56:42	4795/4795	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:56:40%20GMT	http://java.boot.by/wcd-guide/pt01.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/pt01.html	(from )
10:57:55	12919/12919	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:56:43%20GMT	http://java.boot.by/wcd-guide/ch01s04.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch01s04.html	(from )
10:58:12	18718/18718	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:56:41%20GMT	http://java.boot.by/wcd-guide/ch01s02.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch01s02.html	(from )
10:58:13	16477/16477	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:56:42%20GMT	http://java.boot.by/wcd-guide/ch01s03.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch01s03.html	(from )
10:58:16	24197/24197	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:56:40%20GMT	http://java.boot.by/wcd-guide/ch01.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch01.html	(from )
10:58:24	12370/12370	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202015%2009:57:56%20GMT	http://java.boot.by/wcd-guide/ch02.html	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/ch02.html	(from )
