Performance Statistics   2019-10-11 09:50:00 - 2019-10-11 09:50:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
api.non-authenticated.server.available.error           185.0         185         185         0.0           1
axl.SOAPRequest.read.ok                                249.0          47         451       202.0           2
axl.initialization.ok                                  460.0         460         460         0.0           1
global.bg.ok                                             1.4           0         324        16.5         750
global.event_dispatch.ok                                 2.2           0           6         2.7           5
global.prov_ev.andmobile.ok                              0.0           0           0         0.0           2
global.prov_ev.android.ok                                0.0           0           0         0.0           2
global.prov_ev.apps.ok                                   0.0           0           0         0.0           2
global.prov_ev.blacklist.ok                              0.0           0           0         0.0           2
global.prov_ev.calllist.ok                               0.0           0           0         0.0           2
global.prov_ev.callrouting.ok                            0.0           0           0         0.0           2
global.prov_ev.communicator.ok                           0.0           0           0         0.0           2
global.prov_ev.dect.ok                                   0.0           0           0         0.0           2
global.prov_ev.desktop.ok                                0.0           0           0         0.0           2
global.prov_ev.groupacd.ok                              12.5           1          24        11.5           2
global.prov_ev.inout.ok                                  0.0           0           0         0.0           2
global.prov_ev.ldap.ok                                   0.0           0           0         0.0           2
global.prov_ev.lockout.ok                                0.0           0           0         0.0           2
global.prov_ev.mcast.ok                                  0.0           0           0         0.0           2
global.prov_ev.monitoring.ok                             0.0           0           0         0.0           2
global.prov_ev.partner.ok                                1.0           1           1         0.0           2
global.prov_ev.phonemenu.ok                              0.0           0           0         0.0           2
global.prov_ev.provisioning.ok                           3.0           0           6         3.0           2
global.prov_ev.recorder.ok                               0.0           0           0         0.0           2
global.prov_ev.recordermgmt.ok                           0.0           0           0         0.0           2
global.prov_ev.webuser.ok                                0.0           0           0         0.0           2
partner.initialization.ok                               38.0          38          38         0.0           1
webuser.providerEvent.OK                                 0.0           0           0         0.0           2

Performance Statistics   2019-10-11 09:50:00 - 2019-10-11 09:50:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           1
global.disk_util#                                        0.0           0           0         0.0           1
global.events.add#                                       0.0           0           0         0.0          12
global.events.dropped#                                   0.0           0           0         0.0           7
global.events.enqueue#                                   0.0           0           0         0.0           5
global.events.queues.APAS-defaultWorker-1~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-2~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-3~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-4~               1.0           1           1         0.0           1
global.events.queues.APAS-defaultWorker-5~               1.0           1           1         0.0           1
global.jtapi.provInServiceEvt#                           0.0           0           0         0.0           1
global.jtapi.provOutServiceEvt#                          0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:50:30 - 2019-10-11 09:51:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
axl.SOAPRequest.read.ok                                138.8          28         273        77.3          13
communicator.obs.TermInService.ok                        0.0           0           0         0.0           2
global.bg.ok                                             0.1           0          86         2.3        1500
global.event_dispatch.ok                               340.0           0        1039       462.8          18
global.jtapi.init.andmobile.error                        2.0           2           2         0.0           1
global.jtapi.init.andmobile.ok                           2.0           2           2         0.0           1
global.jtapi.init.android.ok                             0.0           0           0         0.0           1
global.jtapi.init.apps.ok                                0.0           0           0         0.0           1
global.jtapi.init.blacklist.ok                           0.0           0           0         0.0           1
global.jtapi.init.calllist.ok                            0.0           0           0         0.0           1
global.jtapi.init.callrouting.error                     12.0          12          12         0.0           1
global.jtapi.init.callrouting.ok                        12.0          12          12         0.0           1
global.jtapi.init.communicator.error                     4.0           4           4         0.0           1
global.jtapi.init.communicator.ok                        4.0           4           4         0.0           1
global.jtapi.init.dect.ok                                0.0           0           0         0.0           1
global.jtapi.init.desktop.ok                             0.0           0           0         0.0           1
global.jtapi.init.groupacd.ok                            1.0           1           1         0.0           1
global.jtapi.init.inout.ok                               0.0           0           0         0.0           1
global.jtapi.init.ldap.ok                                4.0           4           4         0.0           1
global.jtapi.init.lockout.ok                             0.0           0           0         0.0           1
global.jtapi.init.mcast.ok                               3.0           3           3         0.0           1
global.jtapi.init.monitoring.ok                          0.0           0           0         0.0           1
global.jtapi.init.partner.ok                           218.0         218         218         0.0           1
global.jtapi.init.phonemenu.error                        0.0           0           0         0.0           1
global.jtapi.init.phonemenu.ok                           0.0           0           0         0.0           1
global.jtapi.init.provisioning.ok                        0.0           0           0         0.0           1
global.jtapi.init.recorder.ok                           18.0          18          18         0.0           1
global.jtapi.init.recordermgmt.ok                        0.0           0           0         0.0           1
global.jtapi.init.webuser.ok                             0.0           0           0         0.0           1
global.jtapi.initialization.ok                       11628.0       11628       11628         0.0           1
global.jtapi.push.ok                                    97.0          81         113        16.0           2
global.prov_ev.andmobile.ok                              0.0           0           0         0.0           1
global.prov_ev.android.ok                                0.0           0           0         0.0           1
global.prov_ev.apps.ok                                   0.0           0           0         0.0           1
global.prov_ev.blacklist.ok                              0.0           0           0         0.0           1
global.prov_ev.calllist.ok                               0.0           0           0         0.0           1
global.prov_ev.callrouting.ok                            0.0           0           0         0.0           1
global.prov_ev.communicator.ok                           0.0           0           0         0.0           1
global.prov_ev.dect.ok                                   0.0           0           0         0.0           1
global.prov_ev.desktop.ok                                0.0           0           0         0.0           1
global.prov_ev.groupacd.ok                               0.0           0           0         0.0           1
global.prov_ev.inout.ok                                  0.0           0           0         0.0           1
global.prov_ev.ldap.ok                                   0.0           0           0         0.0           1
global.prov_ev.lockout.ok                                0.0           0           0         0.0           1
global.prov_ev.mcast.ok                                  0.0           0           0         0.0           1
global.prov_ev.monitoring.ok                             0.0           0           0         0.0           1
global.prov_ev.partner.ok                                0.0           0           0         0.0           1
global.prov_ev.phonemenu.ok                              0.0           0           0         0.0           1
global.prov_ev.provisioning.ok                           0.0           0           0         0.0           1
global.prov_ev.recorder.ok                               0.0           0           0         0.0           1
global.prov_ev.recordermgmt.ok                           0.0           0           0         0.0           1
global.prov_ev.webuser.ok                                0.0           0           0         0.0           1
global.servletRequest.ok                               329.5         285         374        44.5           2
global.servletRequest.svc_security.ok                    0.0           0           0         0.0           2
partner.PGroupDisplay.getDisplayPNG.ok                 169.5           1         338       168.5           2
partner.PGroupDisplay.updateCache.ok                    26.2           0         257        76.9          10
partner.PGroupMember.PhoneDisplay.ok                     4.7           1          13         4.7          15
partner.PGroupMember.notifySubscrbrs.ok                  0.0           0           0         0.0          24
partner.PGroupMember.observe.ok                         62.0           3         100        42.3           3
partner.PGroupMember.uSAG.getGroupTerminals.ok           9.1           1          51        16.2           8
partner.PGroupMember.uSAG.notifySubscribers.1            0.8           0           3         1.3           8
partner.PGroupMember.uSAG.notifySubscribers.ok           3.8           0          30         9.9           8
partner.PGroupMember.uSAG.ok                            29.5           7          69        21.3           8
partner.PGroupMember.uSAG.prepPushData.ok                9.9           4          18         5.0           8
partner.PGroupMember.uSAG.push2Terms.ok                  0.8           0           6         2.0           8
partner.pdevice.checkPDeviceValidity.ok                  3.0           0          12         3.9          10
partner.servletRequest.ok                              312.0         273         351        39.0           2
startup.ccmphone.loadAttr.loadExt.ok                   370.5         261         480       109.5           2
startup.ccmphone.loadAttr.loadPhone.ok                 541.0         377         705       164.0           2
startup.comm.modu.CTE.1                                  0.0           0           0         0.0           1
startup.comm.modu.CTE.2                                  0.0           0           0         0.0           1
startup.comm.modu.CTE.6                                  0.0           0           0         0.0           1
startup.comm.modu.CTE.7                                  6.0           6           6         0.0           1
startup.comm.modu.CTE.ok                                 6.0           6           6         0.0           1
webuser.providerEvent.OK                                 0.0           0           0         0.0           1

Performance Statistics   2019-10-11 09:50:30 - 2019-10-11 09:51:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           3
global.events.add#                                       0.0           0           0         0.0          18
global.events.enqueue#                                   0.0           0           0         0.0          18
global.events.queues.APAS-PGMAXLWorker-1~                6.0           6           6         0.0           1
global.events.queues.APAS-PGMWorker-10~                  1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-11~                  1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-12~                  1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-1~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-2~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-3~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-4~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-5~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-6~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-7~                   1.0           1           1         0.0           1
