28-Feb-2020 07:46:05.253 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log Initializing AtmosphereFramework
28-Feb-2020 07:46:06.004 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
28-Feb-2020 07:46:06.037 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log Initializing Spring root WebApplicationContext
28-Feb-2020 07:46:12.678 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'springAdminGuiRestAPI'
28-Feb-2020 07:46:14.021 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'springCommunicator'
28-Feb-2020 07:46:14.223 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'springApasRestAPI'
28-Feb-2020 07:46:15.630 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'springWebattendantAPI'
28-Feb-2020 07:46:18.505 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'springRecorder'
28-Feb-2020 07:46:18.583 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'springWebClientAPI'
28-Feb-2020 07:46:19.357 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: ERROR: The serialization policy file '/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.gwtframework_gwtappMain/97E89E70AEC3372555DD72FC7822007F.gwt.rpc' was not found; did you forget to include it in this deployment?
28-Feb-2020 07:46:19.363 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: WARNING: Failed to get the SerializationPolicy '97E89E70AEC3372555DD72FC7822007F' for module 'http://apasdev.com:8080/andphone/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.gwtframework_gwtappMain/'; a legacy, 1.3.3 compatible, serialization policy will be used.  You may experience SerializationExceptions as a result.
28-Feb-2020 07:46:19.368 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: ERROR: The serialization policy file '/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.gwtframework_gwtappMain/97E89E70AEC3372555DD72FC7822007F.gwt.rpc' was not found; did you forget to include it in this deployment?
28-Feb-2020 07:46:19.368 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: WARNING: Failed to get the SerializationPolicy '97E89E70AEC3372555DD72FC7822007F' for module 'http://apasdev.com:8080/andphone/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.gwtframework_gwtappMain/'; a legacy, 1.3.3 compatible, serialization policy will be used.  You may experience SerializationExceptions as a result.
28-Feb-2020 07:46:19.368 INFO [http-nio-8080-exec-6] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: ERROR: The serialization policy file '/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.gwtframework_gwtappMain/97E89E70AEC3372555DD72FC7822007F.gwt.rpc' was not found; did you forget to include it in this deployment?
28-Feb-2020 07:46:19.368 INFO [http-nio-8080-exec-6] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: WARNING: Failed to get the SerializationPolicy '97E89E70AEC3372555DD72FC7822007F' for module 'http://apasdev.com:8080/andphone/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.gwtframework_gwtappMain/'; a legacy, 1.3.3 compatible, serialization policy will be used.  You may experience SerializationExceptions as a result.
28-Feb-2020 07:46:20.582 INFO [http-nio-8080-exec-8] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: ERROR: The serialization policy file '/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.login_gwtappMain/97E89E70AEC3372555DD72FC7822007F.gwt.rpc' was not found; did you forget to include it in this deployment?
28-Feb-2020 07:46:20.582 INFO [http-nio-8080-exec-8] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: WARNING: Failed to get the SerializationPolicy '97E89E70AEC3372555DD72FC7822007F' for module 'http://apasdev.com:8080/andphone/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.login_gwtappMain/'; a legacy, 1.3.3 compatible, serialization policy will be used.  You may experience SerializationExceptions as a result.
28-Feb-2020 07:46:27.000 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: ERROR: The serialization policy file '/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.mainPage_gwtappMain/97E89E70AEC3372555DD72FC7822007F.gwt.rpc' was not found; did you forget to include it in this deployment?
28-Feb-2020 07:46:27.000 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log RPCglobalServiceImpl: WARNING: Failed to get the SerializationPolicy '97E89E70AEC3372555DD72FC7822007F' for module 'http://apasdev.com:8080/andphone/gwt/ver6.2.2-12898/com.andtek.andphone.global.gwtapp.mainPage_gwtappMain/'; a legacy, 1.3.3 compatible, serialization policy will be used.  You may experience SerializationExceptions as a result.
28-Feb-2020 07:46:38.032 INFO [http-nio-8080-exec-10] org.apache.catalina.core.ApplicationContext.log RPCrecorderServiceImpl: ERROR: The serialization policy file '/gwt/ver6.2.2-12898/com.andtek.andphone.recorder.gwtapp.rules_gwtappMain/8FE6BC005709734989FD0893C2E6A52D.gwt.rpc' was not found; did you forget to include it in this deployment?
